日期,十大净流入个股,净流入金额(亿元),十大净流出个股,净流出金额(亿元),行业净流入TOP3,行业净流入金额(亿元),概念净流入TOP3,概念净流入金额(亿元)
2024-02-07,宁德时代,8.50,贵州茅台,-3.25,电力设备,15.80,锂电池,12.50
2024-02-07,比亚迪,6.20,中国平安,-2.80,汽车,12.50,新能源汽车,10.80
2024-02-07,招商银行,5.80,五粮液,-2.50,银行,8.50,储能,8.20
2024-02-07,隆基绿能,4.50,工商银行,-2.20,非银金融,5.20,CPO概念,6.50
2024-02-07,迈瑞医疗,4.20,农业银行,-2.00,电子,4.80,人工智能,5.80
2024-02-07,恒瑞医药,3.80,中国中免,-1.85,医药生物,4.50,创新药,5.20
2024-02-07,汇川技术,3.50,海康威视,-1.60,机械设备,3.80,工业母机,4.50
2024-02-07,亿纬锂能,3.20,伊利股份,-1.45,计算机,3.50,信创,4.20
2024-02-07,阳光电源,3.00,海天味业,-1.30,国防军工,2.80,中特估,3.80
2024-02-07,天齐锂业,2.80,长江电力,-1.20,有色金属,2.50,稀土永磁,3.20
2024-02-06,贵州茅台,5.20,宁德时代,-4.50,食品饮料,8.50,白酒,7.80
2024-02-06,中国平安,4.80,隆基绿能,-3.80,非银金融,7.20,保险,6.50
2024-02-06,五粮液,4.50,比亚迪,-3.20,银行,6.80,券商,5.80
2024-02-06,工商银行,3.60,阳光电源,-2.80,医药生物,5.50,中药,5.20
2024-02-06,中国中免,3.20,亿纬锂能,-2.50,房地产,3.80,国企改革,4.50
2024-02-06,农业银行,2.80,天齐锂业,-2.20,家用电器,3.20,养老概念,3.80
2024-02-06,招商银行,2.50,汇川技术,-1.80,交通运输,2.50,物流,3.20
2024-02-06,海天味业,2.20,迈瑞医疗,-1.60,建筑材料,2.20,一带一路,2.80
2024-02-06,长江电力,2.00,恒瑞医药,-1.40,公用事业,2.00,碳中和,2.50
2024-02-06,伊利股份,1.80,立讯精密,-1.20,轻工制造,1.50,跨境电商,2.20
